Change Component Footprint: Designator=S1 Old Footprint=NKK SS312SAH4 New Footprint=C&K SK-12F17-G 7
Change Component Comment : Designator=S1 Old Comment=SS312SAH4-R New Comment=SK-12F17-G 7
Change component parameters: Designator = "S1" ("S1"); Footprint = "NKK SS312SAH4"; UniqueID = "\GIDGOQHQ" ("\GIDGOQHQ")
Change component parameters (AddParameter): Name = "Actuator Length"; Value = "7.00mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuit"; Value = "SPDT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "//media.digikey.com/pdf/Data%20Sheets/C&K/SK-12F17-G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/c-k/SK-12F17-G-7/CKN10393-ND/2747163"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = "Silver"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Timing"; Value = "Not Specified"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "300mA (DC)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "22.01.2022 09:16:27"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "C&K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole, Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SK-12F17-G 7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.55"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "SK, COMAX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "CKN10393-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Function"; Value = "On-On"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "PC Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating - DC"; Value = "30V"; VariantName = "[No Variations]"
